#,headAR,bodyAR,headDV,bodyDV,footAR,footDV,headEN-HDN,bodyEN-HDN
189,٧٨ - مَا يُقَالُ لِلْكَافِرِ إِذَا عَطَسَ فَحَمِدَ اللهَ,١٨٩ - يَهْدِيكُمُ اللَّهُ وَيُصْلِحُ بَالَكُمْ,𝟩𝟪 - ކާފިރަކު ކިނބިއްސެއް އަޅައި އަލްހަމްދު ލިއްލާހި ކިޔައިފި ނަމަ، އޭނާއަށް ބުނާ ބަސް,"""ﷲ ތިޔަބައިމީހުންނަށް ހިދާޔަތްދައްކަވާށިއެވެ! އަދި ތިޔަބައިމީހުންގެ ހާލަތު އިސްލާހު ކޮށްދެއްވާށިއެވެ!""",,,𝟩𝟪 When a disbeliever praises Allah after sneezing,May Allah guide you and set your affairs in order
190,٧٩ - الدُّعَاءُ لِلْمُتَزَوِّجِ,١٩٠ - بَارَكَ اللَّهُ لَكَ، وَبَارَكَ عَلَيْكَ، وَجَمَعَ بَيْنَكُمَا فِي خَيْرٍ,𝟩𝟫 - ކައިވެނިކުރި މީހާއަށް ކޮށްދޭ ދުއާ,"""ތިބާއަށް ﷲ ބަރަކާތް ލައްވާށިއެވެ! އަދި ތިބާގެ މައްޗަށް ބަރަކާތް ލައްވާށިއެވެ! އަދި ހެޔޮކަމެއްގައި ތިޔަދެމީހުން ޖަމާކޮށްދެއްވާށިއެވެ!""",,,𝟩𝟫 To the newlywed,"May Allah bless you, and shower His blessings upon you, and join you together in goodness."
191,٨٠ - دُعَاءُ المُتَزَوِّجِ وَشِرَاءِ الدَّابَّةِ,١٩١ - إِذَا تَزَوَّجَ أَحَدُكُمُ امْرَأَةً، أَوْ إِذَا اشْتَرَى خَادِماً فَلْيَقُلْ: ((اللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا، وَخَيْرَ مَا جَبَلْتَهَا عَلَيْهِ، وَأَعُوذُ بِكَ مِنْ شَرِّهَا، وَشَرِّ مَا جَبَلْتَهَا عَلَيْهِ، وَإِذَا اشْتَرَى بَعِيراً فَلْيَأْخُذْ بِذِرْوَةِ سَنَامِهِ وَلْيَقُلْ مِثْلَ ذَلِكَ)),𝟪𝟢 - ކައިވެނިކުރާ މީހާއާއި، ސަވާރީއެއް ގަންނަ މީހާ ކިޔާ ދުއާ,"""ތިޔަބައިމީހުންކުރެ މީހަކު އަންހެނަކާ ކައިވެނިކޮށްފިނަމަ، ނުވަތަ އަޅުއަންހެނަކު ގަނެފިނަމަ، ފަހެ މިފަދައިން ކިޔާށެވެ. ""ޔާ ﷲ! ހަމަކަށަވަރުން އޭނާގެ ކިބައިގައިވާ ހެވަކާއި އަދި އޭނާގެ ފިތުރަތުގައި އިބަ ﷲ ލެއްވި ހެޔޮކަމެއް ދެއްވުން އެދި މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތުން ދަންނަވަމެވެ. އަދި އޭނާގެ ކިބައިގައިވާ ނުބަޔަކާއި އޭނާގެ فطرة ގައި އިބަ ﷲ ލެއްވި ނުބައިކަމަކުން މި އަޅާ ރައްކައުތެރިކޮށްދެއްވުމަށް އެދި އިބަ ﷲ ގެ ހަޒްރަތުން ދަންނަވަމެވެ."" އަދި ޖަމަލެއް ގެންފިނަމަ، ގޮންގަނޑުގެ ކޮޅުގައި ހިފައްޓައިގެންހުރެ، ހަމަމިދުއާކުރާހުށިކަމެވެ.""",,,𝟪𝟢 On the wedding night or when buying an animal,"When any of you marries a woman or purchases a servant then let him say:

O Allah, I ask You for the goodness of her, and the goodness upon which You have created her, and I seek refuge in You from the evil of her, and from the evil upon which You have created her.

If you purchase a camel then take hold of the top of its hump and say the same."
192,٨١ - الدُّعَاءُ قَبْلَ إِتْيَانِ الزَّوْجَةِ,١٩٢ - ((بِسْمِ اللَّهِ، اللَّهُمَّ جَنِّبْنَا الشَّيْطَانَ، وَجَنِّبِ الشَّيْطَانَ مَا رَزَقْتَنَا)),𝟪𝟣 - އަނބިމީހާއާއެކު ރޭކުރުމުގެ ކުރިން ކިޔާ ދުއާ,"""ﷲ ގެ އިސްމުފުޅުގެ ބަރަކާތުން (މިކަންކުރަމެވެ.) ޔާ ﷲ! ޝައިތާނާގެ ކިބައިން އަޅަމެން ދުރުކޮށްދެއްވާނދޭވެ! އަދި އިބަ ﷲ އަޅަމެންނަށް ދެއްވާ ދަރިންގެ ކިބައިން ޝައިތާނާ ދުރުކޮށްދެއްވާނދޭވެ!""",,,𝟪𝟣 Before sexual intercourse with the wife,"With the Name of Allah. O Allah, keep the Devil away from us, and keep the Devil away from that which You provide for us."
193,٨٢ - دُعَاءُ الغَضَبِ,١٩٣ - ((أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ)),𝟪𝟤 - ރުޅިއައިސްގެން ކިޔާ ދުއާ,"""ރަހުމަތުން ދުރުކުރެވި ލައުނަތްލެއްވިގެންވާ ޝައިތާނާގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވުމަށް އެދި ﷲ ގެ ހަޒްރަތުން މި އަޅާ ދަންނަވަމެވެ.""",,,𝟪𝟤 When angry,I seek refuge in Allah from Satan the outcast.
194,٨٣ - دُعَاءُ مَنْ رَأَى مُبْتَلَىً,١٩٤ - ((الْحَمْدُ لِلَّهِ الَّذِي عَافَانِي مِمَّا ابْتَلَاكَ بِهِ، وَفَضَّلَنِي عَلَى كَثِيرٍ مِمَّنْ خَلَقَ تَفْضِيلاً)),𝟪𝟥 - މުސީބާތަކާ ކުރިމަތިލާން ޖެހިފައިވާ މީހަކު ފެނުމުން ކިޔާ ދުއާ,"""އެންމެހާ ހަމްދު ތައުރީފެއް ލިބިވޮޑިގެންވަނީ ﷲ އަށެވެ. އެ އިލާހީ ތިބާއަށް އެ އިލާހު ޖެއްސެވި އިމްތިހާނުން (މުސީބާތުން) މި އަޅާއަށް އާފިޔަތުދެއްވި އިލާހެވެ. އަދި އެ އިލާހީ އެ އިލާހު ހެއްދެވި މަޚްލުގުންގެ ތެރެއިން ގިނަ ބައެއްގެ މައްޗަށް މި އަޅާ މާތްކުރެއްވި އިލާހެވެ.""",,,𝟪𝟥 Upon seeing someone in trial or tribulation,"Praise is to Allah Who has spared me what He has afflicted you with, and preferred me greatly above much of what He has created."
195,٨٤ - مَا يُقَالُ فِي المَجْلِسِ,١٩٥ - ((عَنِ ابْنِ عُمَرَ - رضي الله عنهما - قَاَلَ: كَانَ يُعَدُّ لِرَسُولِ اللَّهِ ﷺ فِي الْمَجْلِسِ الوَاحِدِ مِائَةُ مَرَّةٍ مِنْ قَبْلِ أَنْ يَقُومَ: ((رَبِّ اغْفِرْ لِي، وَتُبْ عَلَيَّ، إِنَّكَ أَنْتَ التَّوَّابُ الغَفُورُ)),𝟪𝟦 - މަޖިލީހެއްގައި (ނުވަތަ އެއްވުމެއްގައި) ކިޔާ ދުއާ,"""އޭ މި އަޅާގެ ރައްބެވެ! މި އަޅާއަށް ފާފަ ފުއްސަވާނދޭވެ! އަދި މި އަޅާގެ ތައުބާ ގަބޫލުކުރައްވާނދޭވެ! ހަމަކަށަވަރުން އިބަ ﷲ އީ ގިނަގިނައިން ތައުބާ ގަބޫލުކުރައްވާ ގިނަގިނައިން ފާފަ ފުއްސަވާ އިލާހެވެ.""",,,𝟪𝟦 At a sitting or gathering,"Ibn Umar (ra) said: Allah's Messenger (ﷺ) used to repeat in a single sitting: My Lord, forgive me, and accept my repentance, You are the Ever-Relenting, the All-Forgiving."
196,٨٥ - كَفَّارَةُ المَجْلِسِ,١٩٦ - ((سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ)),𝟪𝟧 - މަޖިލީހެއް (ނުވަތަ އެއްވުމެއް) ނިންމާލަމުން ފާފަފުއްސެވުމަށް އެދި ކުރާ ދުއާ,"""އިބަ ﷲ ގެ ހުސްތާހިރުވަންތަކަމާއެވެ! ޔާ ﷲ! އަދި އެންމެހާ ހަމްދު ތައުރީފެއް އިބަ ﷲ އަށް ލިބިވޮޑިގެންވެއެވެ. އިބަ ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގު ވެގެންވާ އެހެން އެއްވެސް އިލާހަކު ނުވާކަމަށް މި އަޅާ ހެކިވަމެވެ. އިބަ ﷲ ގެ ހަޒްރަތުން ފާފަ ފުއްސަވާދެއްވުމަށް މި އަޅާ އެދެމެވެ. އަދި އިބަ އިލާހުގެ ހަޒްރަތަށް މި އަޅާ ތައުބާވަމެވެ.""",,,"𝟪𝟧 For the expiation of sins, said at the conclusion of a sitting or gathering","Glory is to You, O Allah, and praise is to You. I bear witness that there is none worthy of worship but You. I seek Your forgiveness and repent to You."
197,٨٦ - الدُّعَاءُ لِمَنْ قَالَ غَفَرَ اللهُ لَكَ,١٩٧ - ((وَلَكَ)),𝟪𝟨 - ތިބާއަށް ފާފަ ފުއްސަވާށިއޭ ބުމާ މީހާއަށް ކޮށްދޭ ދުއާ,"""އަދި ތިބާއަށްވެސް ﷲ ފާފަ ފުއްސަވާށިއެވެ!""",,,𝟪𝟨 Returning a supplication of forgiveness,And you.
198,٨٧ - الدُّعَاءُ لِمَنْ صَنَعَ إِلَيْكَ مَعْرُوفاً,١٩٨ - ((جَزَاكَ اللَّهُ خَيْراً)),𝟪𝟩 - ތިބާއަށް ހެޔޮކަމެއް ކޮށްދީފި މީހާއަށް ކުރާ ދުއާ,"""ﷲ ތިބާއަށް ހެޔޮޖަޒާ ދެއްވާށިއެވެ!""",,,𝟪𝟩 To one who does you a favour,May Allah reward you with good.
199,٨٨ - مَا يَعْصِمُ اللَّهُ بِهِ مِنَ الدَّجَّالِ,"١٩٩ - ((مَنْ حَفِظَ عَشْرَ آيَاتٍ مِنْ أَوَّلِ سُورَةِ الْكَهْفِ عُصِمَ مِنَ الدَّجَّالِ))

وَالْاسْتِعَاذَةُ بِاللَّهِ مِنْ فِتْنَتِهِ عَقِبَ التَّشَهُّدِ الْأَخِيرِ مِنْ كُلِّ صَلَاةٍ (1)",𝟪𝟪 - ﷲ ތިބާ ދައްޖާލުގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވާތޯ ކިޔާ ޒިކުރު,"ކަހްފު ސޫރަތުގެ ފުރަތަމަ ދިހަ އާޔަތް ހިތުން ދަސްކޮށްފި މީހާ، ދައްޖާލުގެ ކިބައިން ﷲ ސަލާމަތްކޮށްދެއްވާނެއެވެ.
 ކޮންމެ ނަމާދެއްގެ ފަހު އައްތަޙިއްޔާތުގައި ތަޝައްހުދު ކިޔައި ނިމުމަށްފަހު ދައްޖާލުގެ ފިތުނައިން ސަލާމަތްކޮށްދެއްވުމަށް އެދި ﷲ ގެ ހަޒްރަތަށް ދެންނެވުން.",,,𝟪𝟪 Protection from the Dajjal,"Whoever memorizes ten 'Ayat (Verses) from the beginning of Surat Al-Kahf, will be protected from the False Messiah.

And if he seeks the protection of Allah from the trials of the False Messiah, in every prayer after the final Tashahhud before ending the prayer."
200,٨٩ - الدُّعَاءُ لِمَنْ قَالَ إِنِّي أُحِبُّكَ فِي اللَّهِ,٢٠٠ - ((أَحَبَّكَ الَّذِي أَحْبَبْتَنِي لَهُ)),𝟪𝟫 - ﷲ އަށްޓަކައި ތިބާދެކެ ލޯބިވަމޭ ބުނެފި މީހާއަށް ކޮށްދޭ ދޮއާ,"""އެފަރާތަކަށްޓަކައި އަހުރެންދެކެ ތިބާ ލޯބިވީ ފަރާތް ތިބާދެކެ ލޯބިވެވޮޑިގަންނަވާށިއެވެ!""",,,"𝟪𝟫 To one who pronounces his love for you, for Allah’s sake","May He for Whose sake you love me, love you."
201,٩٠ - الدُّعَاءُ لِمَنْ عَرَضَ عَلَيْكَ مَالَهُ,٢٠١ - ((بَارَكَ اللَّهُ لَكَ فِي أَهْلِكَ وَمَالِكَ)),𝟫𝟢 - މީހަކު އޭނާގެ މުދާ ތިބާއަށް ހުށަހަޅައިފި ނަމަ ކިޔާ ދުއާ,"""ތިބާއަށްޓަކައި ތިބާގެ އަހުލުވެރިންގެ ކިބައިގައާއި ތިބާގެ މުދަލުގައި ﷲ ބަރަކާތް ލައްވާށިއެވެ!""",,,𝟫𝟢 To one who has offered you some of his wealth,May Allah bless you in your family and your property.
202,٩١ - الدُّعَاءُ لِمَنْ أَقْرَضَ عِنْدَ القَضَاءِ,٢٠٢ - ((بارَكَ اللَّهُ لَكَ فِي أَهْلِكَ وَمَالِكَ، إِنَّمَا جَزَاءُ السَّلَفِ الْحَمْدُ وَالأَدَاءُ)) (1),𝟫𝟣 - މީހަކަށް ދަރަނި ދައްކާ ޚަލާސް ކުރާއިރު ކިޔާ ދުއާ,"""ތިބާއަށްޓަކައި ތިބާގެ އަހުލުވެރިންގެ ކިބައިގައާއި ތިބާގެ މުދަލުގައި ﷲ ބަރަކާތް ލައްވާށިއެވެ! ހަމަކަށަވަރުން ދަރަނީގެ ޖަޒާއަކީ (ދަރަނި ދިން މީހާއަށް) ޝުކުރުއަދާކުރުމާއި (އެ ދަރަނި) އަދާކުރުމެވެ.""",,,𝟫𝟣 To the debtor when his debt is settled,"May Allah bless you in your family and your wealth, surely the reward for a loan is praise and returning (what was borrowed)."
203,٩٢ - دُعَاءُ الْخَوْفِ مِنَ الشِّرْكِ,٢٠٣ - ((اللَّهُمَّ إِنِّي أَعُوذُ بِكَ أَنْ أُشْرِكَ بِكَ وَأَنَا أَعْلَمُ، وَأَسْتَغْفِرُكَ لِمَا لَا أَعْلَمُ)),𝟫𝟤 - ޝިރުކު ކުރެވިދާނެ ކަމުގެ ބިރަށްޓަކައި ކިޔާ ދުއާ,"""ޔާ ﷲ! މި އަޅާއަށް އެނގޭ ޙާލު، މި އަޅާ އިބަ ﷲ އާ ޝަރީކުކުރުމުން ރައްކައުތެރިކޮށްދެއްވުމަށް އިބަ ﷲ ގެ ހަޒްރަތުން އެދި ދަންނަވަމެވެ. އަދި މި އަޅާއަށް ނޭނގިހުރެ، ކުރެވޭ ފާފަތައް ފުއްސަވައިދެއްވުމަށް އިބަ ﷲ ގެ ހަޒްރަތުން އެދި ދަންނަވަމެވެ.""",,,𝟫𝟤 For fear of shirk,"O Allah, I seek refuge in You lest I associate anything with You knowingly, and I seek Your forgiveness for what I know not."
204,٩٣ - الدُّعَاءُ لِمَنْ قَالَ بَارَكَ اللَّهُ فِيكَ,٢٠٤ - ((وَفِيكَ بَارَكَ اللَّهُ)),𝟫𝟥 - ތިބާއަށް ބަރަކާތް ލައްވާށިއޭ ބުނާ މީހާއަށް ކޮށްދޭ ދުއާ,"""އަދި ތިބާގެ ކިބާގައިވެސް ﷲ ބަރަކާތްލައްވާށިއެވެ!""",,,𝟫𝟥 To someone who says “May Allah bless you”,And may Allah bless you.
205,٩٤ - دُعَاءُ كَرَاهِيَةِ الطِّيَرَةِ,٢٠٥ - ((اللَّهُمَّ لَا طَيْرَ إِلَّا طَيْرُكَ، وَلَا خَيْرَ إِلَّا خَيْرُكَ، وَلَا إِلَهَ غَيْرُكَ)),𝟫𝟦 - އެއްޗެހި ސުންޕާކަމަށް ގަބޫލުކުރާ ކުރުމަށް ނުރުހި ކިޔާ ދުއާ,"""ޔާ ﷲ! އިބަ ﷲ ލެއްވި ސުންޕާކަމެއް މެނުވީ އެއްވެސް ސުންޕާކަމެއް ނުވެއެވެ. (އެބަހީ ދޫނި އުދުއްސައިލީމާ އޭތި އުދުހިގެންދާ ފަރާތެއްގެ ސަބަބުން ކުރަންއުޅޭ ކަމަކަށް އެއްވެސް އަސަރެއްނުކުރާނެއެވެ.) އަދި އިބަ ﷲ ލެއްވި ހެޔޮކަމެއް މެނުވީ އެއްވެސް ހެޔޮކަމެއް ނުވެއެވެ. އަދި އިބަ ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެންއެއްވެސް އިލާހަކު ނުވެއެވެ.""",,,𝟫𝟦 The scorn of ascribing things to evil omens,"O Allah there is no portent other than Your portent, no goodness other than Your goodness, and none worthy of worship other than You."
206,٩٥ - دُعَاءُ الرُّكُوبِ,٢٠٦ - ((بِسْمِ اللَّهِ، وَالْحَمْدُ للَّهِ {سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ، وَإِنَّا إِلَى رَبِّنَا لَمُنقَلِبُونَ}، ((الْحَمْدُ لِلَّهِ، الْحَمْدُ لِلَّهِ الْحَمْدُ لِلَّهِ، اللَّهُ أَكْبَرُ، اللَّهُ أَكْبَرُ، اللَّهُ أَكْبَرُ، سُبْحَانَكَ اللَّهُمَّ إِنِّي ظَلَمْتُ نَفْسِي فَاغْفِرْ لِي؛ فَإِنَّهُ لَا يَغْفِرُ الذُّنُوبَ إِلَّا أَنْتَ)),𝟫𝟧 - ސަވާރީއަކަށް (ނުވަތަ އުޅަނދަކަށް) އަރަމުން ކިޔާ ދުއާ,"""ﷲ ގެ އިސްމުފުޅުގެ ބަރަކާތުން ސަވާރުވަމެވެ. ﷲ އަށް ހަމްދުހުއްޓެވެ. [މިސަވާރީ ކިޔަމަންތެރިކުރެވޭ ބަޔެއްކަމުގައި އަޅަމެން ނުވާ ޙާލު، މި ސަވާރީ އަޅަމެންނަށް ކިޔަމަންތެރިކޮށްދެއްވި ފަރާތުގެ ހުސްތާހިރުވަންތަކަމާއެވެ! އަދި އަޅަމެން އެނބުރިދިއުންވަނީ އަޅަމެންގެ ރައްބުގެ ހަޒްރަތަށެވެ.] ﷲ އަށް ހަމްދު ހުއްޓެވެ. ﷲ އަށް ހަމްދު ހުއްޓެވެ. ﷲ އަށް ހަމްދު ހުއްޓެވެ. އެންމެ ބޮޑީ ﷲ އެވެ. އެންމެ ބޮޑީ ﷲ އެވެ. އެންމެ ބޮޑީ ﷲ އެވެ. އިބަ ﷲ ގެ ހުސްތާހިރުވަންތަކަމާއެވެ! ޔާ ﷲ! ހަމަކަށަވަރުން މި އަޅާ، މި އަޅާގެ އަމިއްލަ ނަފްސަށް އަނިޔާވެރިވީމެވެ. ފަހެ މި އަޅާއަށް ފާފަ ފުއްސަވާނދޭވެ! އެހެނީ ހަމަކަށަވަރުން އިބަ ﷲ މެނުވީ ފާފަ ފުއްސަވައިދެވޭނެ އެހެން ފަރާތެއް ނުވެއެވެ.""",,,𝟫𝟧 When mounting an animal or any means of transport,"With the Name of Allah. Praise is to Allah. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord, we are returning. Praise is to Allah. Praise is to Allah. Praise is to Allah. Allah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to You. O Allah, I have wronged my own soul. Forgive me, for surely none forgives sins but You."
207,٩٦ - دُعَاءُ السَّفَرِ,٢٠٧ - اللَّهُ أَكْبَرُ، اللَّهُ أَكْبَرُ، اللَّهُ أَكْبَرُ، {سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ * وَإِنَّا إِلَى رَبِّنَا لَمُنقَلِبُونَ} ((اللَّهُمَّ إِنّا نَسْأَلُكَ فِي سَفَرِنَا هَذَا البِرَّ وَالتَّقْوَى، وَمِنَ الْعَمَلِ مَا تَرْضَى اللَّهُمَّ هَوِّنْ عَلَيْنَا سَفَرَنَا هَذَا وَاطْوِ عَنَّا بُعْدَهُ، اللَّهُمَّ أَنْتَ الصَّاحِبُ فِي السَّفَرِ، وَالْخَليفَةُ فِي الْأَهْلِ، اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ وَعْثَاءِ السَّفَرِ، وَكَآبَةِ الْمَنْظَرِ، وَسُوءِ الْمُنْقَلَبِ فِي الْمَالِ وَالْأَهْلِ))، وإذا رَجَعَ قَالَهُنَّ وَزَادَ فِيهِنَّ: ((آيِبُونَ، تائِبُونَ، عَابِدُونَ، لِرَبِّنَا حَامِدُونَ)),𝟫𝟨 - ދަތުރުގައި ކިޔާ ދުއާ,"""އެންމެ ބޮޑީ ﷲ އެވެ. އެންމެ ބޮޑީ ﷲ އެވެ. އެންމެ ބޮޑީ ﷲ އެވެ. މިސަވާރީ ކިޔަމަންތެރިކުރެވޭ ބަޔެއްކަމުގައި އަޅަމެން ނުވާ ޙާލު، މިސަވާރީ އަޅަމެންނަށް ކިޔަމަންތެރިކޮށްދެއްވި ފަރާތުގެ ހުސްތާހިރުވަންތަކަމާއެވެ! އަދި އަޅަމެން އެނބުރިދިއުންވަނީ އަޅަމެންގެ ރައްބުގެ ހަޒްރަތަށެވެ.[ ޔާ ﷲ! މިދަތުރުގައި އަޅަމެން، އިބަ ﷲ ގެ ހަޒްރަތުން ހެވަށާއި ތަގްވާވެރިކަމަށް އަދި އިބަ ﷲ ރުއްސަވާ އަމަލަށް އެދެމުއެވެ. ޔާ ﷲ! މި ދަތުރު އަޅަމެންނަށް ފަސޭހަކޮށްދެއްވާނދޭވެ! އަދި ދަތުރުގެ ދިގުކަން ކުރުކަމުގައި އަޅަމެންނަށް އިހުސާސްކޮށްދެއްވާނދޭވެ! ޔާ ﷲ! ދަތުރުގައި އަޅަމެންގެ އެކުވެރިއަކީ އިބަ ﷲ އެވެ. އަދި މި އަޅާގެ (ގޭގެ) އަހުލުވެރިންގެ ޚަލީފާއަކީ (އެބައިމީހުންގެ ކަންތައްތައް ބަލަހައްޓަވައިދެއްވާ ފަރާތަކީ) ވެސް ހަމަ އިބަ ﷲ އެވެ. ޔާ ﷲ! ދަތުރުގެ އުނދަގޫކަމާއި، ހިތާމަކުރުވަނިވި މަންޒަރުން އަދި މުދަލާއި އަހުލުވެރިންގެ ތެރެއަށް އަންނަ ނުބައި ބަދަލަކުން ރައްކާތެރިކޮށްދެއްވުމަށް އިބަ ﷲ ގެ ހަޒްރަތުން އެދިދަންނަވަމެވެ."" 
 
 އަދި ދަތުރު ނިންމާފައި އެނބުރިއަންނަމުން އިސްވެދިޔަ ދުއާގެ ފަހަތަށް އަންނަނިވި ބައި އިތުރުކުރާށެވެ. ""އަޅަމެންނީ އެނބުރިދާ މީހުންނެވެ. ތައުބާވާ މީހުންނެވެ. އަޅުކަންކުރާ މީހުންނެވެ. ހަމައެކަނި އަޅަމެންގެ ވެރިއިލާހަށް ހަމްދުކުރާ މީހުންނެވެ.""",,,𝟫𝟨 For travel,"Allah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord we are returning. O Allah, we ask You on this our journey for goodness and piety, and for works that are pleasing to You. O Allah, lighten this journey for us and make its distance easy for us. O Allah, You are our Companion on the road and the One in Whose care we leave our family. O Allah, I seek refuge in You from this journey's hardships, and from the wicked sights in store and from finding our family and property in misfortune upon returning.

(Upon returning recite the same again adding :) We return repentant to our Lord, worshipping our Lord, and praising our Lord."
208,٩٧ - دُعاءُ دُخُولِ القريَةِ أَوِ البَلْدَةِ,٢٠٨ - ((اللَّهُمَّ رَبَّ السَّمَوَاتِ السَّبْعِ وَمَا أَظْلَلْنَ، وَرَبَّ الأَرَضِينَ السَّبْعِ وَمَا أَقْلَلْنَ، وَرَبَّ الشَّياطِينِ وَمَا أَضْلَلْنَ، وَرَبَّ الرِّيَاحِ وَمَا ذَرَيْنَ، أَسْأَلُكَ خَيْرَ هَذِهِ الْقَرْيَةِ، وَخَيْرَ أَهْلِهَا، وَخَيْرَ مَا فِيهَا، وَأَعُوذُ بِكَ مِنْ شَرِّهَا، وَشَرِّ أَهْلِهَا، وَشَرِّ مَا فِيهَا)) (1),𝟫𝟩 - ރަށަކަށް ވަންނަމުން ކިޔާ ދުއާ,"""ޔާ ﷲ! ހަތްއުޑާއި، އެއުޑުތައް ހިޔާވަހިކަންދިން ހުރިހާއެއްޗެއްގެ ރައްބެވެ! އަދި ހަތްބިމާއި، އެބިންތައް އުފުލި ހުރިހާއެއްޗެއްގެ ރައްބެވެ! އަދި ޝައިތާނުންނާއި، އެޝައިތާނުން މަގުފުރެއްދި ހުރިހާބައެއްގެ ރައްބެވެ! އަދި ވަޔާއި، އެވައި ވިއްސުވައިލި ހުރިހާއެއްޗެއްގެ ރައްބެވެ! މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތުން، މިރަށާއި، މިރަށުގެ އަހުލުވެރިންނާއި، މިރަށުގައި ވާހައި އެއްޗެއްގެ ހެވަށް އެދެމެވެ. އަދި މި އަޅާ އިބަ ﷲ ގެ ހަޒްރަތުން، މިރަށާއި، މިރަށުގެ އަހުލުވެރިންނާއި، މިރަށުގައި ވާހައި އެއްޗެއްގެ ނުބައިކަމުން ރައްކާތެރިކަމަށް އެދެމެވެ.""",,,𝟫𝟩 Upon entering a town or village,"O Allah, Lord of the seven heavens and all they overshadow, Lord of the seven worlds and all they uphold, Lord of the devils and all they lead astray, Lord of the winds and all they scatter. I ask You for the goodness of this town, and for the goodness of its people, and for the goodness it contains. I seek refuge in You from its evil, from the evil of its people, and from the evil it contains."
209,٩٨ - دُعاءُ دُخُولِ السُّوقِ,٢٠٩ - ((لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ الْمُلْكُ، وَلَهُ الْحَمْدُ، يُحْيِي وَيُمِيتُ، وَهُوَ حَيٌّ لاِ يَمُوتُ، بِيَدِهِ الْخَيْرُ، وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ)) (1),𝟫𝟪 - ބާޒާރަށް ވަންނަމުން ކިޔާ ދުއާ,"""ﷲ މެނުވީ އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެންއެއްވެސް އިލާހަކު ނުވެއެވެ. އެ އިލާހު އެއްކައުވަންތައެވެ. އެ އިލާހަށް އެއްވެސް ބައިވެރިއަކު ނުވެއެވެ. އެންމެހާ ވެރިކަމަކާއި އެންމެހާ ހަމްދެއް ލިބިވޮޑިގެންވަނީ އެ އިލާހަށެވެ. އެ އިލާހު މަރުއްވަތެވެ. އަދި ދިރުއްވަތެވެ. އަދި އެ އިލާހީ ދިރިދެމިވޮޑިގެންވާ އަވަހާރަވުމެއްނުވާ އިލާހެވެ. އެންމެހާ ހެވެއްވަނީ އެ އިލާހުގެ އަތްޕުޅުގައެވެ. އަދި އެ އިލާހީ ހުރިހާކަމެއްގެ މައްޗަށް ކުޅަދުންވަންތަވެވޮޑިގެންވާ އިލާހެވެ.""",,,𝟫𝟪 When entering the market,"None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise. He brings life and He causes death, and He is living and does not die. In His Hand is all good, and He is Able to do all things."
210,٩٩ - الدُّعَاءُ إِذَا تَعِسَ المَرْكُوبُ,٢١٠ - ((بِسْمِ اللَّهِ)) (2),𝟫𝟫 - ސަވާރީ އަޅައިގަނެގެން ވެއްޓިޖެ ނަމަ ކިޔާ ދުއާ,"""ﷲ ގެ އިސްމުފުޅުގެ ބަރަކާތުން (ދުވުމުގެ ހީވާގިކަމާއި ބާރު ލިބޭހުށިކަމެވެ.)""",,,𝟫𝟫 When the mounted animal (or mean of transport) stumbles,With the Name of Allah.
211,١٠٠ - دُعَاءُ المُسَافِرِ لِلْمُقيمِ,٢١١ - ((أَسْتَوْدِعُكُمُ اللَّهَ الَّذِي لَا تَضِيعُ وَدَائِعُهُ)) (3),𝟣𝟢𝟢 - ދަތުރުވެރިޔާ، ރަށުގައި މަޑުކުރާ މީހާއަށް ކޮށްދޭ ދުއާ,"""އަހުރެން، ތިޔަބައިމީހުން ﷲ އާ ހަވާލުކުރަމެވެ. އެފަރާތަކީ އެފަރާތާ ހަވާލުކުރެވޭ އެއްޗެއް ގެއްލިގެންނުދާ ފަރާތެވެ.""",,,𝟣𝟢𝟢 Supplication of the traveller for the resident,"I place you in the trust of Allah, whose trust is never misplaced."
