bodyAR,bodyDV,foot
[16] رواه مسلم، برقم (402).,[16] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމުއެވެ. އެއީ ނަމްބަރު (402) ގައެވެ.,
وهذا يعم جميع ما ينفع العبد في الدنيا والآخرة.,އަދި މިކަމުގައި، ދުނިޔެއާއި އާޚިރަތުގައި އަޅާއަށް މަންފާވާނޭ އެންމެހާ ކަމެއް ހިމެނި ޢާއްމުވެގެންވެއެވެ.,
ثم يسلم عن يمينه وشماله قائلا: السلام عليكم ورحمة الله، السلام عليكم ورحمة اللّه.,"ދެން އޭނާގެ ކަނާތް ފަރާތުން، އަދި (އެއަށްފަހު ވިދިގެން) އޭނާގެ ވައަތް ފަރާތުން ސަލާމްދޭނީއެވެ. (އެއީ މިހެން) ކިޔަމުންނެވެ: (السلام عليكم ورحمة الله، السلام عليكم ورحمة اللّه.) މާނައީ: ""ތިޔަބައިމީހުންގެ މައްޗަށް ސަލާމާއި އަދި ﷲ ގެ ރަޙްމަތް ހުއްޓެވެ. ތިޔަބައިމީހުންގެ މައްޗަށް ސަލާމާއި އަދި ﷲ ގެ ރަޙްމަތް ހުއްޓެވެ.""",
14- إن كانت الصلاة ثلاثية كالمغرب، أو رباعية كالظهر والعصر والعشاء قرأ التشهد المذكور آنفًا مع الصلاة على النبي ﷺ، ثم ينهض قائمًا معتمدًا على ركبتيه، رافعًا يديه إلى حذو منكبيه أو أذنيه قائلًا: الله أكبر، ويضعهما- أي يديه- على صدره كما تقدم، ويقرأ الفاتحة فقط، وإن قرأ في الثالثة والرابعة من الظهر زيادة عن الفاتحة في بعض الأحيان فلا بأس لثبوت ما يدل على ذلك عن النبي ﷺ من حديث أبي سعيد رضي الله عنه، وإن ترك الصلاة على النبي ﷺ بعد التشهد الأول فلا بأس؛ لأنه مستحب وليس بواجب في التشهد الأول، ثم يتشهد بعد الثالثة من المغرب وبعد الرابعة من الظهر والعصر والعشاء كما تقدم ذلك في الصلاة الثنائية، ثم يسلمِ عن يمينه وشماله، ويستغفر الله ثلاثًا، ثم يقول:,"14- އެނަމާދަކީ މަޣްރިބުފަދަ ތިން ރަކްޢަތުގެ ނަމާދެއްނަމަ، ނުވަތަ މެންދުރާއި ޢަޞްރާއި ޢިޝާފަދަ ހަތަރު ރަކްޢަތުގެ ނަމާދެއްނަމަ، (މެދު އައް-ތަޙިއްޔާތުގައި އިނދެ) ދެންމެ ޛިކުރުކުރެވުނު އައް-ތަޝައްހުދު އަދި އެއާއެކު ނަބީ ﷺ ގެ މައްޗަށް ޞަލަވާތް ކިޔާފައި، ދެން އޭނާގެ ދެކަކުލުގެ މައްޗަށް ބަރޯސާވެގެން ކޮޅަށް ތެދުވާނީއެވެ. އެއީ އޭނާގެ ދެއަތް އޭނާގެ ދެކޮނޑާ ހަމައަށް ނުވަތަ އޭނާގެ ދެކަންފަތާ ހަމައަށް އުފުލައިގެން މިހެން ކިޔަމުންނެވެ: (الله أكبر) މާނައީ: ""އެންމެ ބޮޑީ ﷲ އެވެ."" އަދި އިސްވެދިޔަ ފަދައިން، އެދޭތި - އެބަހީ: އޭނާގެ ދެއަތް - އޭނާގެ މޭމަތީގައި ބާއްވާނީއެވެ. އަދި ހަމައެކަނި ފާތިޙާ (ސޫރަތް) ކިޔަވާނީއެވެ. އަދި މެންދުރު (ނަމާދުގެ) ތިންވަނަ އަދި ހަތަރުވަނަ ރަކްޢަތުގައި، ފާތިޙާގެ އިތުރަށް ބައެއްފަހަރު ކިޔެވިޔަސް، ފަހެ މައްސަލައެއް ނެތެވެ. އެއީ އެކަމުގެ މައްޗަށް ދަލީލުކޮށްދޭކަން ނަބީ ﷺ ގެ އަރިހުން ޘާބިތުވެގެންވާތީއެވެ. އެއީ އަބޫ ސަޢީދު رضي الله عنه ގެ ޙަދީޘްއިންނެވެ. އަދި ފުރަތަމަ ތަޝައްހުދުގައި، (އައް-ތަޙިއްޔާތަށް ފަހުގައި) ނަބީ ﷺ ގެ މައްޗަށް ޞަލަވާތް ކިޔުން ދޫކޮށްލުމަކުން ވެސް މައްސަލައެއް ނެތެވެ. އެހެނީ އެއީ މުސްތަޙައްބު ކަމެކެވެ. އަދި ފުރަތަމަ ތަޝައްހުދުގައި އެއީ ވާޖިބެއް ނޫނެވެ. ދެން މަޣްރިބު ނަމާދުގައި، ތިންވަނަ ރަކްޢަތަށްފަހުގައި، އަދި މެންދުރާއި، ޢަޞްރާއި ޢިޝާ ނަމާދުގައި، ހަތަރުވަނަ ރަކްޢަތަށްފަހުގައި (ފަހު އައް-ތަޙިއްޔާތަށް) އިށީންނާނީއެވެ. އެއީ އިސްވެދިޔަ ފަދައިން، އެކަން ހަމަ ދެރަކްޢަތުގެ ނަމާދުތަކުގައިވެސްވާ ގޮތަށެވެ. ދެން އޭނާގެ ކަނާއަތަށާއި، ވައަތް ފަރާތަށް ސަލާމްދޭނީއެވެ. އަދި ތިން ފަހަރު އިސްތިޣްފާރު ކުރާނީއެވެ. ދެން ކިޔާނީ މިހެންނެވެ:","ތިން ފަހަރު އިސްތިޣްފާރު ކުރުމީ: (أستغفر الله) މާނައީ: ""ﷲ ގެ ޙަޟްރަތުން، މިއަޅާގެ ފާފަތައް ފުއްސަވާދެއްވުމަށް އެދި ދަންނަވަމެވެ."" މިފަދައިން ތިން ފަހަރު ކިޔުމެވެ.
 މަޣްރިބުފަދަ ޘުލާޘީ (ތިން ރަކްޢަތް) ނަމާދެއްގައި ނުވަތަ މެންދުރާއި ޢަޞްރާއި އަދި ޢިޝާފަދަ ރުބާޢީ (ހަތަރު ރަކްޢަތް) ނަމާދެއްގައި، ފަހު އައް-ތަޙިއްޔާތަށް އިންނާނީ ތަވައްރުކުކޮށެވެ. އެއީ: ހަށިގަނޑުގެ ކަނާއަތް ފަރާތަށްވާ ގޮތަށް ދެފައިތިލަ ނެރެ، ކަނާއަތު ފައި އަރިމަތީގައި ދިގަށް ކޮޅަށްޖަހައި، ކަނާއަތު ފައިތިލައިގެ ފުންނާބު މައްޗަށް ނަގައި، ފޫކޮޅު މަސްގަނޑު ބިންމަތީގައި ޖައްސައިގެން، ވައަތު ފައިތިލަ ކަނާއަތު ފައިތިލައިގެ ދަށުން ހުރަހަށް ބާއްވައިގެންނެވެ. އެގޮތް މުސްތަޙައްބުވެގެންވެއެވެ."
(اللَّهُمَّ أَنْتَ السَّلَامُ وَمِنْكَ السَّلَامُ، تَبَارَكْتَ يا ذَا الجَلَالِ وَالإِكْرَامِ) [17].,"(اللَّهُمَّ أَنْتَ السَّلَامُ وَمِنْكَ السَّلَامُ، تَبَارَكْتَ يا ذَا الجَلَالِ وَالإِكْرَامِ) މާނައީ: ""އޭ ﷲ އޭވެ! އިބަ އިލާހުއީ ސަލާމަތްކަންދެއްވާ އައް-ސަލާމް ފަރާތެވެ. އަދި ސަލާމަތްތެރިކަންވަނީ، އިބަ ﷲ ގެ ޙަޟްރަތުންނެވެ. އޭ ކީރިތިކަމާއި މާތްކަމުގެ ވެރި ފަރާތެވެ! އިބަ އިލާހު ބަރަކާތްތެރިވެ، މަތިވެރިވެވޮޑިގެންވެއެވެ."" [17]",
قبل أن ينصرف إلى الناس إن كان إمامًا، ثم يقول:,އިމާމެއް ކަމުގައިވާނަމަ، އެހެން ކިޔާނީ، މީސްތަކުންނާ ދިމާލަށް އެނބުރުމުގެ ކުރިންނެވެ. ދެން ކިޔާނީއެވެ:,
(لا إلَهَ إلَّا الله وحْدَهُ لا شَرِيكَ لَه، لَهُ المُلْكُ، ولَهُ الحَمْدُ، وَهوَ عَلَى كُلِّ شيءٍ قَدِيرٌ، لَا حَوْلَ وَلَا قُوَّةَ إلَّا بالله، اللَّهُمَّ لَا مَانِعَ لِمَا أعْطَيْتَ، ولَا مُعْطِيَ لِمَا مَنَعْتَ، وَلَا يَنْفَعُ ذَا الجَدِّ مِنْكَ الجَدُّ، لَا إلَهَ إلَّا الله، وَلَا نَعْبُدُ إلَّا إيَّاهُ، لَهُ النِّعْمَةُ وَلَهُ الفَضْلُ، وَلَهُ الثَّنَاءُ الحَسَنُ، لَا إلَهَ إلَّا الله مُخْلِصِينَ لَهُ الدِّينَ وَلَو كَرِهَ الكَافِرُونَ) [18].,"(لا إلَهَ إلَّا الله وحْدَهُ لا شَرِيكَ لَه، لَهُ المُلْكُ، ولَهُ الحَمْدُ، وَهوَ عَلَى كُلِّ شيءٍ قَدِيرٌ، لَا حَوْلَ وَلَا قُوَّةَ إلَّا بالله، اللَّهُمَّ لَا مَانِعَ لِمَا أعْطَيْتَ، ولَا مُعْطِيَ لِمَا مَنَعْتَ، وَلَا يَنْفَعُ ذَا الجَدِّ مِنْكَ الجَدُّ، لَا إلَهَ إلَّا الله، وَلَا نَعْبُدُ إلَّا إيَّاهُ، لَهُ النِّعْمَةُ وَلَهُ الفَضْلُ، وَلَهُ الثَّنَاءُ الحَسَنُ، لَا إلَهَ إلَّا الله مُخْلِصِينَ لَهُ الدِّينَ وَلَو كَرِهَ الكَافِرُونَ) މާނައީ: ""ﷲ މެނުވީ (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކުނުވެއެވެ. އެއިލާހު އެއްކައުވަންތައެވެ. އެ އިލާހަށް އެއްވެސް ޝަރީކަކު ބައިވެރިއަކު ނުވެއެވެ. އެންމެހާ ރަސްކަމެއްވަނީ އެ އިލާހަށެވެ. އަދި ހުރިހާ ޙަމްދެއްވަނީ، އެ އިލާހަށެވެ. އަދި ކޮންމެ ކަމެއްގެ މައްޗަށް އެ އިލާހު ކުޅަދުންވަންތަވެވޮޑިގެންވެއެވެ. އެއްވެސް އާރަކާއި ބާރެއް ﷲ ގެ ޙަޟްރަތުން މެނުވީ ނުވެއެވެ. އޭ ﷲ އޭވެ! އިބަ އިލާހު ދެއްވި އެއްޗެއް، މަނާކުރާނޭ ފަރާތެއް ނުވެއެވެ. އަދި އިބަ އިލާހު މަނާކުރެއްވި އެއްޗެއް، ދޭނޭ އެހެންފަރާތެއްވެސް ނުމެވެއެވެ. އަދި އެއްވެސް ޤަދަރުވެރިޔަކަށް ނުވަތަ ނަޞީބުވެރިޔަކަށް، އޭނާގެ ޤަދަރުވެރިކަމުން ނުވަތަ ނަޞީބުވެރިކަމުން، އިބަ އިލާހުގެ ޙަޟްރަތުން އެއްވެސް މަންފާއެއް ނުކޮށްދޭނެތެވެ. (ހަމައެކަނި ފައިދާކޮށްދޭނީ ޞާލިޙު ޢަމަލުންނެވެ.) ﷲ މެނުވީ (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ. އަދި އަޅަމެން އެއިލާހަށް މެނުވީ އަޅުކަމެއް ނުކުރަމުއެވެ. ނިޢްމަތާއި، ދަރުމައާއި އަދި ރިވެތި ޘަނާ ލިބިވޮޑިގެންވަނީ، ހަމައެކަނި އެއިލާހަށެވެ. ﷲ މެނުވީ (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ. އަދި ކާފިރުން ކިތަންމެ ނުރުހުނު ކަމުގައިވިޔަސް، އަޅަމެންނީ އެއިލާހަށް އަޅުކަމާއި ދީން ޚާލިޞްކުރާ މީހުންނެވެ."" [18]",
[17] رواه مسلم، برقم (591).,[17] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (591) ގައެވެ.,
[18] رواه مسلم، برقم (402),[18] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (402) ގައެވެ.,
ويسبح الله ثلاثًا وثلاثين ويحمده مثل ذلك، ويكبره مثل ذلك ويقول تمام المائة: لا إلَهَ إلَّا الله وحْدَهُ لا شَرِيكَ لَه، لَهُ المُلْكُ، ولَهُ الحَمْدُ، وَهوَ عَلَى كُلِّ شيءٍ قَدِيرٌ، ويقرأ آية الكرسي، وقل هو اللّه أحد، وقل أعوذ برب الفلق، وقل أعوذ برب الناس بعد كل صلاة، ويستحب تكرار هذه السور الثلاث ثلاث مرات بعد صلاة الفجر وصلاة المغرب؛ لورود الأحاديث بها عن النبي ﷺ، وكل هذه الأذكار سنة وليست بفريضة.,"އަދި ތިރީސް ތިން ފަހަރު ﷲ އަށް ތަސްބީޙަ ކިޔާނީއެވެ. އަދި ހަމަ އެވަރަށް ޙަމްދު ކުރާނީއެވެ. އަދި ހަމަ އެވަރަށް ތަކްބީރު ކިޔާނީއެވެ. އަދި ސަތޭކަ ފުރިހަމަކުރަން ކިޔާނީ މިހެންނެވެ: (لا إلَهَ إلَّا الله وحْدَهُ لا شَرِيكَ لَه، لَهُ المُلْكُ، ولَهُ الحَمْدُ، وَهوَ عَلَى كُلِّ شيءٍ قَدِيرٌ) މާނައީ: ""ﷲ މެނުވީ (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކުނުވެއެވެ. އެއިލާހު އެއްކައުވަންތައެވެ. އެ އިލާހަށް އެއްވެސް ޝަރީކަކު ބައިވެރިއަކު ނުވެއެވެ. އެންމެހާ ރަސްކަމެއްވަނީ އެކަލާނގެއަށެވެ. އަދި ހުރިހާ ޙަމްދެއްވަނީ، އެ އިލާހަށެވެ. އަދި ކޮންމެ ކަމެއްގެ މައްޗަށް އެ އިލާހު ކުޅަދުންވަންތަވެވޮޑިގެންވެއެވެ."" އަދި އާޔަތުލް-ކުރްސި، އަދި (قل هو اللّه أحد) އަލް-އިޚްލާޞް ސޫރަތާއި، (قل أعوذ برب الفلق) އަލް-ފަލަޤު ސޫރަތާއި، (قل أعوذ برب الناس) އައް-ނާސް ސޫރަތް ކޮންމެ ނަމާދެއް ފަހުގައި ކިޔަވާނީއެވެ. އަދި ފަތިސް ނަމާދާއި މަޣްރިބު ނަމާދަށް ފަހުގައި، މި ތިން ސޫރަތް، ތިން ފަހަރު ތަކްރާރުކޮށް ކިޔެވުން މުސްތަޙައްބުވެގެންވެއެވެ. އެއީ އެކަމަށް ނަބީ ﷺ ގެ އަރިހުން ޙަދީޘްތައް ވާރިދުވެފައިވާތީއެވެ. އަދި މިއެންމެހާ ޛިކުރުތަކަކީ ސުންނަތްތަކެވެ. އަދި ފަރްޟެއް ނޫނެވެ.","ތިރީސް ތިން ފަހަރު ތަސްބީޙަ ކިޔުމީ: (سبحان الله) މާނައީ: ""ﷲ ގެ ހުސްޠާހިރުވަންތަކަމާއެވެ."" މިފަދައިން ތިރީސް ތިން ފަހަރު ކިޔުމެވެ.
 ތިރީސް ތިން ފަހަރު ޙަމްދު ކުރުމީ: (الحمد لله) މާނައީ: ""ﷲ އަށް ޙަމްދު ހުއްޓެވެ."" މިފަދައިން ތިރީސް ތިން ފަހަރު ކިޔުމެވެ.
 ތިރީސް ތިން ފަހަރު ތަކްބީރު ކިޔުމީ: (الله أكبر) މާނައީ: ""އެންމެ ބޮޑީ ﷲ އެވެ."" މިފަދައިން ތިރީސް ތިން ފަހަރު ކިޔުމެވެ.
 އޭރުން މުޅި ޖުމްލަވާނީ: ނުވަދިހަ ނުވައެކެވެ.
 އާޔަތުލް-ކުރްސީއަކީ، އަލް-ބަޤަރާ ސޫރަތުގެ 266 ވަނަ އާޔަތެވެ."
ويشرع لكل مسلم ومسلمة أن يصلي قبل صلاة الظهر أربع ركعات وبعدها ركعتين، وبعد صلاة المغرب ركعتين، وبعد صلاة العشاء ركعتين، وقبل صلاة الفجر ركعتين، الجميع اثنتا عشرة ركعة، وهذه الركعات تسمى الرواتب؛ لأن النبي ﷺ كان يحافظ عليها في الحضر.,އަދި ކޮންމެ މުސްލިމު ފިރިހެނަކާއި މުސްލިމު އަންހެނަކު، މެންދުރު ނަމާދުގެ ކުރިން ހަތަރު ރަކްޢަތް އަދި މެންދުރު ނަމާދުގެ ފަހުން ދެރަކްޢަތް ކުރުން މަޝްރޫޢުވެގެންވެއެވެ. އަދި މަޣްރިބު ނަމާދުގެ ފަހުން ދެރަކްޢަތް، އަދި ޢިޝާ ނަމާދުގެ ފަހުން ދެރަކްޢަތް، އަދި ފަތިސް ނަމާދުގެ ކުރިން ދެރަކްޢަތެވެ. އޭރުން އެވީ، ބާރަ ރަކްޢަތެވެ. އަދި މިރަކްޢަތްތަކަށް ކިޔަނީ، ރަވާތިބު (ސުންނަތެވެ.) އެހެނީ، ޙަޟަރުގައި (ރަށުގައި ޤާއިމުވެ ހުންނަ އިރުގައި) ނަބީ ﷺ އެ ރަކްޢަތްތަކުގެ މައްޗަށް ރައްކާތެރިވެލެއްވިއެވެ.,
أما في السفر فكان يتركها إلا سنة الفجر والوتر، فإنه كان عليه الصلاة والسلام يحافظ عليهما حضرًا وسفرًا، والأفضل أن تصلى هذه الرواتب والوتر في البيت فإن صلاها في المسجد فلا بأس؛ لقول النبي ﷺ:,އެހެނެއްކަމަކު، ސަފަރުގައި (ދަތުރު މަތީގައި) ދަންނައެވެ. ފަހެ އެކަލޭގެފާނު އެ ރަކްޢަތްތައް ދޫކޮށްލައްވަތެވެ. ފަތިސް ނަމާދުގެ އިހު ސުންނަތާއި ވިތުރި ފިޔަވައެވެ. ފަހެ ޙަޟަރުގައާއި ސަފަރުގައި، ސަލާމާއި ޞަލަވާތް ލެއްވިގެންވާ ކަލޭގެފާނު، އެ ރަކްޢަތްތަކުގެ މައްޗަށް ރައްކާތެރިވެލައްވައެވެ. އަދި އެންމެ މޮޅުއިތުރުވެގެންވާ ގޮތަކީ، މިރަވާތިބު ސުންނަތްތަކާއި ވިތުރިވެސް ގޭގައި ކުރުމެވެ. ދެންފަހެ މިސްކިތުގައި އެ ނަމާދުތައް ކުރިނަމަވެސް، މައްސަލައެއް ނެތެވެ. އެއީ ނަބީ ﷺ ގެ ބަސްފުޅުގެ މައްޗަށެވެ:,
(أفْضَلُ صَلَاةِ المَرْءِ في بَيْتِهِ، إلَّا الصَّلَاةَ المَكْتُوبَةَ) [19].,"(أفْضَلُ صَلَاةِ المَرْءِ في بَيْتِهِ، إلَّا الصَّلَاةَ المَكْتُوبَةَ) މާނައީ: ""މީހާގެ އެންމެ މޮޅުއިތުރުވެގެންވާ ނަމާދަކީ، އޭނާގެ ގޭގައި ކުރާ ނަމާދެވެ. އެއީ ލިޔެވިގެންވާ (ފަރުޟު) ނަމާދުތައް މެނުވީއެވެ."" [19]",
[19] رواه البخاري، برقم (6860).,[19] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (6860) ގައެވެ.,
والمحافظة على هذه الركعات من أسباب دخول الجنة لقول النبي ﷺ:,އަދި މިރަކްޢަތްތަކުގެ މައްޗަށް ރައްކާތެރިވުމަކީ، ޖަންނަތަށް ވަނުމުގެ ސަބަބުތަކުން ކުރެ ސަބަބެކެވެ. އެއީ ނަބީ ﷺ ގެ ބަސްފުޅަށްޓަކައެވެ:,
(مَنْ صَلَّى اثْنَتَيْ عَشْرَةَ رَكْعَةً فِي يَومٍ وَلَيْلَةٍ، بُنِيَ لَه بِهِنَّ بَيْتٌ فِي الجَنَّةِ) [20].,"(مَنْ صَلَّى اثْنَتَيْ عَشْرَةَ رَكْعَةً فِي يَومٍ وَلَيْلَةٍ، بُنِيَ لَه بِهِنَّ بَيْتٌ فِي الجَنَّةِ) މާނައީ: ""ދުވާލާއި ރޭގަނޑުގައި، ބާރަ ރަކްޢަތް ކޮށްފިމީހާ، އޭނާއަށްޓަކައި އޭގެ ސަބަބުން ޖަންނަތުގައި ގެޔެއް (ގަނޑުވަރެއް) ބިނާ ކުރެވޭ ހުއްޓެވެ."" [20]",
[20] رواه مسلم، برقم (728).,[20] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (728) ގައެވެ.,
وإن صلى أربعًا قبل العصر، واثنتين قبل صلاة المغرب، واثنتين قبل صلاة العشاء فحسن؛ لأنه صح عن النبي ﷺ ما يدل على ذلك، وإن صلى أربعًا بعد الظهر وأربعًا قبلها فحسن؛ لقوله ﷺ:,އަދި ޢަޞްރު (ނަމާދުގެ) ކުރިން ހަތަރު (ރަކްޢަތް) ކޮށްފައި، މަޣްރިބު ނަމާދުގެ ކުރިން ދޭއް ކޮށްފައި، އަދި ޢިޝާ ނަމާދުގެ ކުރިން ދޭއް ކޮށްފިނަމަ، ފަހެ އެކަންވެސް ހަމަ ރަނގަޅެވެ. އެހެނީ އެކަމުގެ މައްޗަށް ދަލީލުކޮށްދޭކަން ނަބީ ﷺ ގެ އަރިހުން ޞައްޙަވެގެންވެއެވެ. އަދި މެންދުރު (ނަމާދުގެ) ފަހުގައި ހަތަރެއް އަދި ކުރީގައި ހަތަރެއް ކޮށްފިނަމަ، އެވެސް ރަނގަޅެވެ. އެއީ ނަބީ ﷺ ގެ ބަސްފުޅަށްޓަކައެވެ:,
(مَنْ ‌حَافَظَ ‌عَلَى ‌أَرْبَعِ ‌رَكَعَاتٍ ‌قَبْلَ ‌الظُّهْرِ، وَأَرْبَعٍ بَعْدَهَا حَرَّمَهُ اللَّهُ عَلَى النَّارِ) [21].,"(مَنْ ‌حَافَظَ ‌عَلَى ‌أَرْبَعِ ‌رَكَعَاتٍ ‌قَبْلَ ‌الظُّهْرِ، وَأَرْبَعٍ بَعْدَهَا حَرَّمَهُ اللَّهُ عَلَى النَّارِ) ""މެންދުރު (ނަމާދުގެ) ކުރިން ހަތަރު ރަކްޢަތުގެ މައްޗަށް، އަދި އޭގެ ފަހުން ހަތަރު ރަކްޢަތުގެ މައްޗަށް ރައްކާތެރިވެއްޖެ މީހާ، އޭނާ ނަރަކައިގެ މައްޗަށް ﷲ ޙަރާމް ކުރައްވަތެވެ."" [21]",
"والمعنى أنه يزيد على السنة الراتبة ركعتين بعد الظهر؛ لأن السنة الراتبة أربع قبلها واثنتان بعدها. 
 فإذا زاد اثنيتن بعدها حصل ما ذكر في حديث أم حبيبة رضي الله عنها.",އަދި (މީގެ) މާނައަކީ، މެންދުރު (ނަމާދުގެ ފަހުން އޮންނަ) ރަވާތިބު ސުންނަތުގެ މައްޗަށް އޭނާ ދެރަކްޢަތް އިތުރުކުޅައުމެވެ. އެހެނީ ރަވާތިބު ސުންނަތަކީ، މެންދުރު ނަމާދުގެ ކުރިން ހަތަރަކާއި އަދި ފަހުން ދެއެކެވެ. ފަހެ އެނަމާދުގެ ފަހުގައި، އޭނާ ދޭއް އިތުރުކޮށްފިނަމަ، އުއްމު ޙަބީބާ رضي الله عنها ގެ ޙަދީޘްގައި ޛިކުރުވެފައިވާ ކަންތައް ޙާޞިލުވީއެވެ.,
[21] رواه أحمد، برقم (25547)، والترمذي، برقم (393)، وأبو داود، برقم (1077).,[21] އެޙަދީޘް ރިވާކުރެއްވީ އަޙްމަދުއެވެ. އެއީ ނަމްބަރު (25547) ގައެވެ. އަދި އައް-ތިރްމިޛީއެވެ. އެއީ ނަމްބަރު (393) ގައެވެ. އަދި އަބޫ ދާވޫދުއެވެ. އެއީ ނަމްބަރު (1077) ގައެވެ.,
والله ولي التوفيق، وصلى اللّه وسلم على نبينا محمد بن عبد الله وعلى آله وأصحابه وأتباعه بإحسان إلى يوم الدين،،،,އަދި ތަޥްފީޤުދެއްވުމުގެ އާރާއި ކުޅަދާނަކަން ވަނީ ހަމައެކަނި ﷲ އަށެވެ. އަދި އަހަރެމެންގެ ނަބީކަލޭގެފާނު މުޙައްމަދު ބްނު ޢަބްދު ﷲ އަށާއި، އެކަލޭގެފާނުގެ އާލުންނާއި، އެކަލޭގެފާނުގެ އަޞްޙާބުންނާއި އަދި އިޙްސާންތެރިކަމާ އެކުގައި ޤިޔާމަތް ދުވަހާއި ހަމައަށް އެކަލޭގެފާނަށް ތަބާވީ އެންމެހާ މީސްތަކުންގެ މައްޗަށް ﷲ ޞަލަވާތާއި ސަލާމްލައްވާށިއެވެ...,
